title,duration,rating,year,url
Tengoku to jigoku,143,8.4,1963,https://www.imdb.com//title/tt0057565/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,8.4,1964,https://www.imdb.com//title/tt0057012/
Witness for the Prosecution,116,8.4,1957,https://www.imdb.com//title/tt0051201/
Paths of Glory,88,8.4,1957,https://www.imdb.com//title/tt0050825/
Sunset Blvd.,110,8.4,1950,https://www.imdb.com//title/tt0043014/
The Great Dictator,125,8.4,1940,https://www.imdb.com//title/tt0032553/
Ratsasan,170,8.3,2018,https://www.imdb.com//title/tt7060344/
Ayla: The Daughter of War,125,8.3,2017,https://www.imdb.com//title/tt6316138/
Dangal,161,8.3,2016,https://www.imdb.com//title/tt5074352/
Drishyam,160,8.3,2013,https://www.imdb.com//title/tt3417422/
Jagten,115,8.3,2012,https://www.imdb.com//title/tt2106476/
Jodaeiye Nader az Simin,123,8.3,2011,https://www.imdb.com//title/tt1832382/
Incendies,131,8.3,2010,https://www.imdb.com//title/tt1255953/
Spider-Man: No Way Home,148,8.3,2021,https://www.imdb.com//title/tt10872600/
Up,96,8.3,2009,https://www.imdb.com//title/tt1049413/
Taare Zameen Par,165,8.3,2007,https://www.imdb.com//title/tt0986264/
Toy Story 3,103,8.3,2010,https://www.imdb.com//title/tt0435761/
Inglourious Basterds,153,8.3,2009,https://www.imdb.com//title/tt0361748/
Eternal Sunshine of the Spotless Mind,108,8.3,2004,https://www.imdb.com//title/tt0338013/
Le fabuleux destin d'Amélie Poulain,122,8.3,2001,https://www.imdb.com//title/tt0211915/
Snatch,104,8.3,2000,https://www.imdb.com//title/tt0208092/
Requiem for a Dream,102,8.3,2000,https://www.imdb.com//title/tt0180093/
Good Will Hunting,126,8.3,1997,https://www.imdb.com//title/tt0119217/
Toy Story,81,8.3,1995,https://www.imdb.com//title/tt0114709/
Heat,170,8.3,1995,https://www.imdb.com//title/tt0113277/
Reservoir Dogs,99,8.3,1992,https://www.imdb.com//title/tt0105236/
Full Metal Jacket,116,8.3,1987,https://www.imdb.com//title/tt0093058/
Idi i smotri,142,8.3,1985,https://www.imdb.com//title/tt0091251/
Once Upon a Time in America,229,8.3,1984,https://www.imdb.com//title/tt0087843/
Scarface,170,8.3,1983,https://www.imdb.com//title/tt0086250/
Star Wars: Episode VI - Return of the Jedi,131,8.3,1983,https://www.imdb.com//title/tt0086190/
The Sting,129,8.3,1973,https://www.imdb.com//title/tt0070735/
A Clockwork Orange,136,8.3,1971,https://www.imdb.com//title/tt0066921/
2001: A Space Odyssey,149,8.3,1968,https://www.imdb.com//title/tt0062622/
To Kill a Mockingbird,129,8.3,1962,https://www.imdb.com//title/tt0056592/
Lawrence of Arabia,218,8.3,1962,https://www.imdb.com//title/tt0056172/
Judgment at Nuremberg,179,8.3,1961,https://www.imdb.com//title/tt0055031/
The Apartment,125,8.3,1960,https://www.imdb.com//title/tt0053604/
North by Northwest,136,8.3,1959,https://www.imdb.com//title/tt0053125/
Vertigo,128,8.3,1958,https://www.imdb.com//title/tt0052357/
Pather Panchali,125,8.3,1955,https://www.imdb.com//title/tt0048473/
Singin' in the Rain,103,8.3,1952,https://www.imdb.com//title/tt0045152/
Ikiru,143,8.3,1952,https://www.imdb.com//title/tt0044741/
Ladri di biciclette,89,8.3,1948,https://www.imdb.com//title/tt0040522/
Double Indemnity,107,8.3,1944,https://www.imdb.com//title/tt0036775/
Citizen Kane,119,8.3,1941,https://www.imdb.com//title/tt0033467/
M - Eine Stadt sucht einen Mörder,117,8.3,1931,https://www.imdb.com//title/tt0022100/
Metropolis,153,8.3,1927,https://www.imdb.com//title/tt0017136/
The Kid,68,8.3,1921,https://www.imdb.com//title/tt0012349/
Chhichhore,143,8.2,2019,https://www.imdb.com//title/tt9052870/
1917,119,8.2,2019,https://www.imdb.com//title/tt8579674/
Uri: The Surgical Strike,138,8.2,2019,https://www.imdb.com//title/tt8291224/
Tumbbad,104,8.2,2018,https://www.imdb.com//title/tt8239946/
Andhadhun,139,8.2,2018,https://www.imdb.com//title/tt8108198/
K.G.F: Chapter 1,156,8.2,2018,https://www.imdb.com//title/tt7838252/
Green Book,130,8.2,2018,https://www.imdb.com//title/tt6966692/
Everything Everywhere All at Once,139,8.2,2022,https://www.imdb.com//title/tt6710474/
Vikram Vedha,147,8.2,2017,https://www.imdb.com//title/tt6148156/
Baahubali 2: The Conclusion,167,8.2,2017,https://www.imdb.com//title/tt4849438/
Drishyam,163,8.2,2015,https://www.imdb.com//title/tt4430212/
Bhaag Milkha Bhaag,186,8.2,2013,https://www.imdb.com//title/tt2356180/
Inside Out,95,8.2,I) (,https://www.imdb.com//title/tt2096673/
Gangs of Wasseypur,321,8.2,2012,https://www.imdb.com//title/tt1954470/
Paan Singh Tomar,135,8.2,2012,https://www.imdb.com//title/tt1620933/
El secreto de sus ojos,129,8.2,2009,https://www.imdb.com//title/tt1305806/
Warrior,140,8.2,2011,https://www.imdb.com//title/tt1291584/
Shutter Island,138,8.2,2010,https://www.imdb.com//title/tt1130884/
Kimetsu no Yaiba: Mugen Ressha-Hen,117,8.2,2020,https://www.imdb.com//title/tt11032374/
Miracle in Cell No. 7,132,8.2,2019,https://www.imdb.com//title/tt10431500/
Article 15,130,8.2,2019,https://www.imdb.com//title/tt10324144/
The Father,97,8.2,I) (,https://www.imdb.com//title/tt10272386/
The Wolf of Wall Street,180,8.2,2013,https://www.imdb.com//title/tt0993846/
No Country for Old Men,122,8.2,2007,https://www.imdb.com//title/tt0477348/
Babam ve Oglum,112,8.2,2005,https://www.imdb.com//title/tt0476735/
There Will Be Blood,158,8.2,2007,https://www.imdb.com//title/tt0469494/
Pan's Labyrinth,118,8.2,2006,https://www.imdb.com//title/tt0457430/
V for Vendetta,132,8.2,2006,https://www.imdb.com//title/tt0434409/
Batman Begins,140,8.2,2005,https://www.imdb.com//title/tt0372784/
Der Untergang,156,8.2,2004,https://www.imdb.com//title/tt0363163/
Hauru no ugoku shiro,119,8.2,2004,https://www.imdb.com//title/tt0347149/
A Beautiful Mind,135,8.2,2001,https://www.imdb.com//title/tt0268978/
Kill Bill: Vol. 1,111,8.2,2003,https://www.imdb.com//title/tt0266697/
Finding Nemo,100,8.2,2003,https://www.imdb.com//title/tt0266543/
The Sixth Sense,107,8.2,1999,https://www.imdb.com//title/tt0167404/
"Lock, Stock and Two Smoking Barrels",107,8.2,1998,https://www.imdb.com//title/tt0120735/
The Truman Show,103,8.2,1998,https://www.imdb.com//title/tt0120382/
L.A. Confidential,138,8.2,1997,https://www.imdb.com//title/tt0119488/
Bacheha-Ye aseman,89,8.2,1997,https://www.imdb.com//title/tt0118849/
Casino,178,8.2,1995,https://www.imdb.com//title/tt0112641/
Jurassic Park,127,8.2,1993,https://www.imdb.com//title/tt0107290/
